price,date
558.46,2013-07-02
556.617926464765,2013-07-03
558.4418984983536,2013-07-05
556.1815079614262,2013-07-08
558.7421181460445,2013-07-09
556.7145429578953,2013-07-10
556.5015553895096,2013-07-11
557.7667856107967,2013-07-12
551.0495722473976,2013-07-15
554.8340740028033,2013-07-16
554.8070490191694,2013-07-17
557.6146100013061,2013-07-18
559.1570219948178,2013-07-19
559.3257377573203,2013-07-22
564.3591483036583,2013-07-23
558.0703167166314,2013-07-24
554.2349204582846,2013-07-25
551.3644406674188,2013-07-26
547.297248717244,2013-07-29
547.8566211407135,2013-07-30
550.0680695030371,2013-07-31
558.6246937069553,2013-08-01
561.2672553416955,2013-08-02
564.4366607168672,2013-08-05
566.311865940852,2013-08-06
567.9156993925392,2013-08-07
570.3672658096996,2013-08-08
571.9355060306578,2013-08-09
575.819209311889,2013-08-12
577.7113326049173,2013-08-13
574.7454582978295,2013-08-14
574.0377684340543,2013-08-15
578.0630315628061,2013-08-16
576.2470016815765,2013-08-19
574.2508775763864,2013-08-20
569.2433910972585,2013-08-21
567.5823872631507,2013-08-22
566.305624604699,2013-08-23
570.4879765405253,2013-08-26
570.6910231231647,2013-08-27
568.9574869368512,2013-08-28
569.4149932807002,2013-08-29
563.4763256297313,2013-08-30
564.9886111326431,2013-09-03
565.3935820613822,2013-09-04
564.5086178096781,2013-09-05
563.2773582055707,2013-09-06
562.680934889911,2013-09-09
557.6975553466142,2013-09-10
558.1594000250021,2013-09-11
557.0955720626151,2013-09-12
560.7710699939012,2013-09-13
565.390470480282,2013-09-16
562.2432824397379,2013-09-17
562.0242524321122,2013-09-18
561.7622378914411,2013-09-19
560.9457943407339,2013-09-20
564.637433503083,2013-09-23
567.0214682159374,2013-09-24
561.3826141300847,2013-09-25
561.0827905758008,2013-09-26
561.8452616070532,2013-09-27
563.8704537197422,2013-09-30
561.4426701501238,2013-10-01
565.468603116863,2013-10-02
572.9527013912937,2013-10-03
568.866065413343,2013-10-04
563.8002688674056,2013-10-07
563.6416053996303,2013-10-08
566.9120623164476,2013-10-09
564.6853072451344,2013-10-10
564.2719442522034,2013-10-11
563.093278067801,2013-10-14
567.7860240990425,2013-10-15
569.1579103812261,2013-10-16
567.6665131319248,2013-10-17
563.7016475568267,2013-10-18
562.3774465322554,2013-10-21
562.4373539666451,2013-10-22
564.3972161134834,2013-10-23
561.1819419891361,2013-10-24
569.1999603338961,2013-10-25
572.5214448308407,2013-10-28
573.9615934613253,2013-10-29
570.973190422029,2013-10-30
568.3219266419934,2013-10-31
568.9153332808174,2013-11-01
567.9756210215938,2013-11-04
563.3944009153445,2013-11-05
565.8222347957113,2013-11-06
556.3892770550717,2013-11-07
556.0358050700232,2013-11-08
556.0803829860557,2013-11-11
556.8478978449965,2013-11-12
558.9777705617308,2013-11-13
549.5825372005138,2013-11-14
550.2552812493245,2013-11-15
549.7332567212724,2013-11-18
549.1215113339449,2013-11-19
554.7732907859414,2013-11-20
555.3122544123714,2013-11-21
560.205333512995,2013-11-22
559.2303159801676,2013-11-25
563.6304135177186,2013-11-26
565.8543960427696,2013-11-27
570.0609953452295,2013-11-29
565.6128172601221,2013-12-02
566.0796567136155,2013-12-03
567.7583916929683,2013-12-04
565.300988652177,2013-12-05
563.7043447366248,2013-12-06
560.75285515114,2013-12-09
564.6034235256137,2013-12-10
565.1677700063416,2013-12-11
564.105729124735,2013-12-12
562.6571940133757,2013-12-13
564.3082541287187,2013-12-16
563.688867770645,2013-12-17
558.9123675539033,2013-12-18
560.3490537580905,2013-12-19
556.2763675411879,2013-12-20
556.1993953518883,2013-12-23
555.1984750871816,2013-12-24
555.8246033662418,2013-12-26
553.7134726494825,2013-12-27
552.9051090481071,2013-12-30
559.6364066406554,2013-12-31
556.931342267684,2014-01-02
560.7555342765814,2014-01-03
565.5167626093547,2014-01-06
562.4397841067045,2014-01-07
569.8807889898358,2014-01-08
566.6803714812069,2014-01-09
573.9939781471595,2014-01-10
572.9951712469475,2014-01-13
574.1343461354975,2014-01-14
573.7583697203524,2014-01-15
570.6818102791166,2014-01-16
570.0178284039184,2014-01-17
575.1697083120592,2014-01-21
571.3603545787564,2014-01-22
571.1097296985168,2014-01-23
573.9664130294558,2014-01-24
574.9786300038257,2014-01-27
583.0409198436329,2014-01-28
585.6438472585323,2014-01-29
584.0641526080104,2014-01-30
584.1605042146033,2014-01-31
583.644053695427,2014-02-03
587.5257088075915,2014-02-04
586.4111811479419,2014-02-05
584.0771252255305,2014-02-06
584.5805837758717,2014-02-07
587.8259941118166,2014-02-10
587.7733778469377,2014-02-11
586.82630058797,2014-02-12
590.6707108011689,2014-02-13
590.6796655922925,2014-02-14
593.1068156878266,2014-02-18
597.4596568472383,2014-02-19
601.7272985794186,2014-02-20
606.8368163881879,2014-02-21
608.9708354192513,2014-02-24
601.6386592959786,2014-02-25
602.8417146433131,2014-02-26
603.1958372784816,2014-02-27
612.4230358548496,2014-02-28
615.307147746142,2014-03-03
617.1355260757997,2014-03-04
614.6138683411009,2014-03-05
616.3683513269314,2014-03-06
613.1416565280622,2014-03-07
612.3946876676582,2014-03-10
616.7479309920027,2014-03-11
616.7239446543853,2014-03-12
611.0700179589998,2014-03-13
617.3720463837678,2014-03-14
614.6281165073475,2014-03-17
618.597157023459,2014-03-18
618.3503831335183,2014-03-19
620.315600353996,2014-03-20
626.4825787024179,2014-03-21
622.1120252224226,2014-03-24
618.185873405221,2014-03-25
618.2842574784363,2014-03-26
623.3971047704288,2014-03-27
628.1769543659991,2014-03-28
628.6563813686604,2014-03-31
632.0604418720121,2014-04-01
635.4899532851077,2014-04-02
637.3059175894666,2014-04-03
639.4976628056805,2014-04-04
643.6704981282286,2014-04-07
646.0603160212305,2014-04-08
645.0961305032577,2014-04-09
638.6452341268028,2014-04-10
645.6455577189298,2014-04-11
648.3040742852276,2014-04-14
647.4549354839778,2014-04-15
643.5142144510901,2014-04-16
640.6948261124584,2014-04-17
637.99765196509,2014-04-21
632.0393797025209,2014-04-22
628.4253773232855,2014-04-23
628.2188848449152,2014-04-24
628.5126301449777,2014-04-25
625.1343716951994,2014-04-28
627.8542444253357,2014-04-29
621.3262325267171,2014-04-30
623.2908652671207,2014-05-01
623.0814539161221,2014-05-02
623.5124011723759,2014-05-05
633.4977429775046,2014-05-06
633.3243764664951,2014-05-07
637.8653431030208,2014-05-08
640.9331315044581,2014-05-09
638.93464161456,2014-05-12
631.9148338055029,2014-05-13
636.644798916413,2014-05-14
636.773369885419,2014-05-15
638.5639745226235,2014-05-16
637.8143907495889,2014-05-19
637.4189766342846,2014-05-20
635.5925501477681,2014-05-21
639.3316137897224,2014-05-22
639.0640716096941,2014-05-23
636.7263594569387,2014-05-27
635.5421883971658,2014-05-28
632.1185483300853,2014-05-29
630.1607261432484,2014-05-30
632.1208174620373,2014-06-02
636.2953789495317,2014-06-03
638.2364308200079,2014-06-04
636.4603155712057,2014-06-05
633.0361506954647,2014-06-06
627.5311257560625,2014-06-09
630.9769874526409,2014-06-10
633.9300060438947,2014-06-11
633.3907594132564,2014-06-12
630.7315322720934,2014-06-13
631.2666653625406,2014-06-16
636.1984595989662,2014-06-17
636.6597099110472,2014-06-18
631.8897194484564,2014-06-19
628.2537923630069,2014-06-20
633.5605251149367,2014-06-23
637.0006927707448,2014-06-24
637.0802418015182,2014-06-25
635.8740805941206,2014-06-26
640.0614026998817,2014-06-27
637.059686154294,2014-06-30
635.6034002059727,2014-07-01
630.2629816821178,2014-07-02
623.2329973232136,2014-07-03
622.9036545666484,2014-07-07
627.3422028181724,2014-07-08
624.0883613959222,2014-07-09
618.6641363847954,2014-07-10
613.3634891809965,2014-07-11
610.9771087766694,2014-07-14
612.7569695111771,2014-07-15
610.2700846738771,2014-07-16
611.2590419284594,2014-07-17
612.8044660344559,2014-07-18
614.0012630956735,2014-07-21
615.5765713027454,2014-07-22
611.0077918880114,2014-07-23
606.0981699789445,2014-07-24
606.3819715578329,2014-07-25
601.9010406080862,2014-07-28
594.9963987672024,2014-07-29
591.3412985576534,2014-07-30
595.4068738652147,2014-07-31
596.2000571376312,2014-08-01
589.3438774849037,2014-08-04
589.0479488803496,2014-08-05
593.5480103990105,2014-08-06
592.6038576729873,2014-08-07
596.4326228394923,2014-08-08
593.0655905015037,2014-08-11
591.7497148398729,2014-08-12
595.0723383658479,2014-08-13
595.8246115992974,2014-08-14
596.678543348118,2014-08-15
598.4465076335904,2014-08-18
592.323507969106,2014-08-19
593.2752619668922,2014-08-20
600.0542869673563,2014-08-21
596.4063324697363,2014-08-22
595.4503619191834,2014-08-25
591.490802926716,2014-08-26
594.465102540645,2014-08-27
596.8608833058021,2014-08-28
599.8330506457002,2014-08-29
592.4947860218376,2014-09-02
595.2296095089519,2014-09-03
597.1042675719841,2014-09-04
592.824306536273,2014-09-05
586.8429265628521,2014-09-08
589.9247833573513,2014-09-09
589.7744851589471,2014-09-10
587.3478536335351,2014-09-11
590.2257532442751,2014-09-12
592.663888804167,2014-09-15
592.7030593759537,2014-09-16
591.8985384272731,2014-09-17
596.8392849698484,2014-09-18
598.0961357045744,2014-09-19
599.9750846836029,2014-09-22
603.7212471493642,2014-09-23
601.0704482202232,2014-09-24
600.330187453601,2014-09-25
605.2921787298586,2014-09-26
599.5378827923689,2014-09-29
615.2317587921306,2014-09-30
613.8054653446175,2014-10-01
619.3573074865128,2014-10-02
618.0719878956509,2014-10-03
618.2830666022215,2014-10-06
627.6291626992144,2014-10-07
631.1556761153637,2014-10-08
633.7467963779003,2014-10-09
630.8694913174972,2014-10-10
629.3881601492122,2014-10-13
640.7749028245346,2014-10-14
640.7377373960857,2014-10-15
642.8171349638058,2014-10-16
645.8354006315219,2014-10-17
644.5571335656771,2014-10-20
641.440393261468,2014-10-21
638.0019125025269,2014-10-22
640.5329835331211,2014-10-23
633.4373364097041,2014-10-24
630.9727631283433,2014-10-27
632.8377198302363,2014-10-28
630.0720261232274,2014-10-29
627.1467671297586,2014-10-30
629.5873361231518,2014-10-31
638.0810378007459,2014-11-03
643.9189634001106,2014-11-04
644.2155582976227,2014-11-05
640.6529915049784,2014-11-06
636.8361645555826,2014-11-07
636.0554595983378,2014-11-10
637.1564766226612,2014-11-11
637.814999429469,2014-11-12
639.2437310982649,2014-11-13
644.1161447873394,2014-11-14
641.291914349561,2014-11-17
640.6904831485974,2014-11-18
642.7357691159372,2014-11-19
641.8838772589955,2014-11-20
642.6081205665549,2014-11-21
642.4587521552785,2014-11-24
641.3600041097012,2014-11-25
648.9205204397371,2014-11-26
647.4472669208319,2014-11-28
647.5143372497174,2014-12-01
642.2426838698682,2014-12-02
640.2426875114421,2014-12-03
636.3937704959925,2014-12-04
638.7639337422578,2014-12-05
634.4498774253465,2014-12-08
627.468459736934,2014-12-09
621.7949606805289,2014-12-10
623.7915306648204,2014-12-11
629.7147473406129,2014-12-12
620.8706357594373,2014-12-15
616.0637238390456,2014-12-16
618.2796940249327,2014-12-17
615.5805918270854,2014-12-18
620.1347475505246,2014-12-19
621.9226872469636,2014-12-22
621.8462343147447,2014-12-23
622.0866642624965,2014-12-24
624.5571873335361,2014-12-26
625.039476275094,2014-12-29
626.8604218376028,2014-12-30
619.1914628926037,2014-12-31
617.5429425705861,2015-01-02
610.3802798414727,2015-01-05
612.3469378953005,2015-01-06
610.460279895537,2015-01-07
617.6612166558632,2015-01-08
618.5259525254181,2015-01-09
619.6071437756118,2015-01-12
626.4084963179996,2015-01-13
622.9514393010006,2015-01-14
627.9176979192705,2015-01-15
626.8169124300825,2015-01-16
626.7215964108995,2015-01-20
620.4932821129996,2015-01-21
623.6862782850752,2015-01-22
627.8407453823351,2015-01-23
625.0265787440123,2015-01-26
626.171518957984,2015-01-27
628.8711030638668,2015-01-28
629.7956003258115,2015-01-29
622.0645977421415,2015-01-30
620.8345549529738,2015-02-02
616.68772034483,2015-02-03
613.9635180780319,2015-02-04
608.2367508737667,2015-02-05
613.2927314713069,2015-02-06
616.0643092597887,2015-02-09
615.0065046312661,2015-02-10
616.1831720909667,2015-02-11
619.563066400863,2015-02-12
615.983690865898,2015-02-13
617.7090728307692,2015-02-17
616.4353455893147,2015-02-18
618.5444320123333,2015-02-19
620.0394406510834,2015-02-20
617.2784439730623,2015-02-23
618.8749239934525,2015-02-24
614.0749981817736,2015-02-25
611.9838481028057,2015-02-26
610.1622633686226,2015-02-27
615.5089619025185,2015-03-02
625.3411177486294,2015-03-03
623.1123031137867,2015-03-04
624.1835718044332,2015-03-05
622.6776317200341,2015-03-06
630.1479059146296,2015-03-09
626.0681644790515,2015-03-10
627.4553079287141,2015-03-11
628.3477574251655,2015-03-12
622.2474164456066,2015-03-13
625.8975671666728,2015-03-16
619.8238733669838,2015-03-17
614.7395640436569,2015-03-18
607.9117017068048,2015-03-19
606.6018893638231,2015-03-20
607.0672352002033,2015-03-23
606.7274022060451,2015-03-24
611.5172348004421,2015-03-25
614.6763637470557,2015-03-26
614.8765838854048,2015-03-27
611.3135818360801,2015-03-30
617.1013938577496,2015-03-31
618.6685020137712,2015-04-01
617.6594677687452,2015-04-02
613.4642718533404,2015-04-06
615.6622521499321,2015-04-07
613.4285367625062,2015-04-08
620.3841623044384,2015-04-09
621.6929423217264,2015-04-10
617.6483199126801,2015-04-13
614.4025227194286,2015-04-14
606.9263249442206,2015-04-15
604.6591198504391,2015-04-16
600.6054443442467,2015-04-17
598.2189996287358,2015-04-20
591.6286769052882,2015-04-21
593.2276342369215,2015-04-22
596.0789956238302,2015-04-23
595.9246751000447,2015-04-24
597.5397008061711,2015-04-27
601.5309765309736,2015-04-28
599.343662529262,2015-04-29
599.2624274874447,2015-04-30
598.7246117217121,2015-05-01
601.3997932323349,2015-05-04
598.3098507357315,2015-05-05
599.8289720134522,2015-05-06
595.9448308704286,2015-05-07
591.1267666442949,2015-05-08
589.1087088290953,2015-05-11
590.2353158130633,2015-05-12
587.5155722748128,2015-05-13
584.7484473331505,2015-05-14
590.1969327611665,2015-05-15
595.9990112845453,2015-05-18
593.4132425464123,2015-05-19
597.5872515173683,2015-05-20
593.7093659103845,2015-05-21
590.2473020119513,2015-05-22
590.6177478104576,2015-05-26
592.4042156631943,2015-05-27
593.5866419600587,2015-05-28
593.2315446534514,2015-05-29
597.199215617125,2015-06-01
603.2928220491868,2015-06-02
603.6269599952354,2015-06-03
606.4387612935307,2015-06-04
603.857754595744,2015-06-05
603.8332206579938,2015-06-08
603.3811802848894,2015-06-09
598.8912699455989,2015-06-10
592.8228384145397,2015-06-11
588.2839065041801,2015-06-12
585.9336970798804,2015-06-15
588.3947024347758,2015-06-16
584.2112871802358,2015-06-17
584.2881819951189,2015-06-18
582.2151802745205,2015-06-19
576.8383864713198,2015-06-22
575.9059707225395,2015-06-23
574.2114481290662,2015-06-24
579.5480410940256,2015-06-25
576.6500731867669,2015-06-26
580.5642214534566,2015-06-29
582.390925323322,2015-06-30
